"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,1,1,"B086BV9VCV",true,4.49,"USD",5.99,1.5,25.04,13241,4.8,"https://www.amazon.com/dp/B086BV9VCV","63556.80",false,false,false,false,"How to Catch a Dinosaur","https://m.media-amazon.com/images/I/61tjlpOo3wL._AC_UY218_.jpg"
1,2,2,"B0BT22WXRP",false,0,"USD",0,0,0,57,4.3,"https://www.amazon.com/dp/B0BT22WXRP","245.10",false,false,true,false,"Lucy and the Enchanted Forest: Bedtime Story Book for Children ages 3 - 7 (Dream Weaver Tales: Kids Books (ages 3-8))","https://m.media-amazon.com/images/I/61QR4-mcX8L._AC_UY218_.jpg"
1,3,3,"B00R1R64A0",false,39.99,"USD",0,0,0,7800,4.9,"https://www.amazon.com/dp/B00R1R64A0","38220.00",false,false,false,false,"Warriors 6-Book Collection with Bonus Book: Enter the Clans: Books 1-6 Plus Enter the Clans (Warriors: The Prophecies Begin)","https://m.media-amazon.com/images/I/81Dr7eg40-L._AC_UY218_.jpg"
1,4,4,"B07X1GL374",true,1.99,"USD",10.99,9,81.89,1450,4.4,"https://www.amazon.com/dp/B07X1GL374","6380.00",false,false,false,false,"A Dog's Best Friends: Shog, Lilly Frog and Piggle in... (Red Beetle Children's Picture Books Ages 3-8)","https://m.media-amazon.com/images/I/71atZJT4-GL._AC_UY218_.jpg"
1,5,5,"B0B7ZY59YZ",false,1.99,"USD",0,0,0,34,4.2,"https://www.amazon.com/dp/B0B7ZY59YZ","142.80",false,false,false,false,"Frogs in Space: Lilly & Milly Frog, Shog and Piggle in... (Red Beetle Children's Picture Books Ages 3-8)","https://m.media-amazon.com/images/I/71XFQPlb72L._AC_UY218_.jpg"
1,6,6,"B019QX455C",false,0,"USD",0,0,0,38,4.4,"https://www.amazon.com/dp/B019QX455C","167.20",false,false,false,false,"Books for Kids: The Seashell Necklace (Free Childrens Books Ages 4-8, Mother Daughter Relationships, Bedtime Stories For K...","https://m.media-amazon.com/images/I/81DGVnH3RNL._AC_UY218_.jpg"
1,7,7,"B0BXQ53NGG",false,0,"USD",0,0,0,69,4.3,"https://www.amazon.com/dp/B0BXQ53NGG","296.70",false,false,false,false,"The Raccoon Who Stole Easter: A Tale of Kindness and Egg Hunts (An Easter And Springtime Book For Kids) (Dream Weaver Tale...","https://m.media-amazon.com/images/I/61BagnDt+QL._AC_UY218_.jpg"
1,8,8,"B0147C46P6",true,0,"USD",8.99,8.99,100,764,4.2,"https://www.amazon.com/dp/B0147C46P6","3208.80",false,false,false,false,"Sniffer: The little dog who loves to sniff: A children's picture book (Sniffer Children's Books Age 3-6)","https://m.media-amazon.com/images/I/81K3g4WGvnL._AC_UY218_.jpg"
2,1,9,"B09ZLC8GCP",false,0,"USD",0,0,0,10,4.6,"https://www.amazon.com/dp/B09ZLC8GCP","46.00",false,false,false,false,"I CAN READ FOR 4-6 YEAR OLDS:: LEARN TO READ AT HOME BOOK FOR CHILDREN AGE 4","https://m.media-amazon.com/images/I/71j6FXn-jVL._AC_UY218_.jpg"
2,2,10,"B08DK9GBPV",false,0,"USD",0,0,0,855,4.6,"https://www.amazon.com/dp/B08DK9GBPV","3933.00",false,false,false,false,"Dark Enemy Trilogy: The Children of the Gods Series Books 4-6","https://m.media-amazon.com/images/I/81U4A6lup5L._AC_UY218_.jpg"
2,3,11,"B07B1S9WKD",true,0,"USD",17.1,17.1,100,22768,4.9,"https://www.amazon.com/dp/B07B1S9WKD","111563.20",false,false,true,false,"The Beginner's Bible: Timeless Children’s Stories","https://m.media-amazon.com/images/I/81a8f2HScML._AC_UY218_.jpg"
2,4,12,"B0BTBRNGNX",false,0,"USD",0,0,0,27,4.2,"https://www.amazon.com/dp/B0BTBRNGNX","113.40",false,false,false,false,"Liam's Adventures in Space: A Children Book Ages 3-6 (Dream Weaver Tales: Kids Books (ages 3-8))","https://m.media-amazon.com/images/I/61WxW+aH8tL._AC_UY218_.jpg"
2,5,13,"B004DI7JNG",true,54.99,"USD",59.94,4.95,8.26,1585,4.7,"https://www.amazon.com/dp/B004DI7JNG","7449.50",false,false,false,false,"Lee Child's Jack Reacher Books 1-6","https://m.media-amazon.com/images/I/716CWy21NlL._AC_UY218_.jpg"
