"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
60,14,1014,"B00I1ZMDGK",false,0,"USD",0,0,0,6,3.9,"https://www.amazon.com/dp/B00I1ZMDGK","23.40",false,false,false,false,"Extreme Income Online - How To Make Money Online And Have The Life You Always dreamed Off (how to make money online, how t...","https://m.media-amazon.com/images/I/81XuL9O6GML._AC_UY218_.jpg"
60,15,1015,"B084GY66HY",true,9.99,"USD",19.95,9.96,49.92,14,4.9,"https://www.amazon.com/dp/B084GY66HY","68.60",false,false,false,false,"Our Money Stories: A Six Week No B.S. Holistic Financial Wellness Plan","https://m.media-amazon.com/images/I/81dU-PCIH1L._AC_UY218_.jpg"
61,9,1017,"B000PC71Q4",true,8.99,"USD",24.5,15.51,63.31,1466,4.6,"https://www.amazon.com/dp/B000PC71Q4","6743.60",false,false,false,false,"The Money Book for the Young, Fabulous & Broke","https://m.media-amazon.com/images/I/71R2MF5n-bL._AC_UY218_.jpg"
61,10,1018,"B09JPKVQV7",true,14.99,"USD",30,15.01,50.03,246,4.5,"https://www.amazon.com/dp/B09JPKVQV7","1107.00",false,false,false,false,"Where the Money Is: Value Investing in the Digital Age","https://m.media-amazon.com/images/I/61bO5Ko6y6L._AC_UY218_.jpg"
61,11,1019,"B071KXHXQG",true,0,"USD",4.99,4.99,100,21,3.5,"https://www.amazon.com/dp/B071KXHXQG","73.50",false,false,false,false,"Passive Income: Top Passive Income Ideas for the Motivated who want Financial Freedom and Make Money while sleeping (Finan...","https://m.media-amazon.com/images/I/91xO0FQiIGL._AC_UY218_.jpg"
61,14,1022,"B08HDL3CXG",true,9.99,"USD",16,6.01,37.56,185,4.6,"https://www.amazon.com/dp/B08HDL3CXG","851.00",false,false,false,false,"Blood Gun Money: How America Arms Gangs and Cartels","https://m.media-amazon.com/images/I/71dW+kKbr1L._AC_UY218_.jpg"
61,15,1023,"B077MF5789",true,2.99,"USD",7.99,5,62.58,27,4.8,"https://www.amazon.com/dp/B077MF5789","129.60",false,false,false,false,"A Money Saving Mindset","https://m.media-amazon.com/images/I/71FnU-ciYgL._AC_UY218_.jpg"
61,16,1024,"B01FYB1D82",true,28.82,"USD",179.99,151.17,83.99,23,4.7,"https://www.amazon.com/dp/B01FYB1D82","108.10",false,false,false,false,"Monetary Economics: An Integrated Approach to Credit, Money, Income, Production and Wealth","https://m.media-amazon.com/images/I/71xZeFTQxLL._AC_UY218_.jpg"
62,9,1025,"B00KAC65PW",false,12.99,"USD",0,0,0,775,4.4,"https://www.amazon.com/dp/B00KAC65PW","3410.00",false,false,false,false,"The Opposite of Spoiled: Raising Kids Who Are Grounded, Generous, and Smart About Money","https://m.media-amazon.com/images/I/81L1BWF9bFL._AC_UY218_.jpg"
62,12,1028,"B07GBGWLLZ",true,12.99,"USD",16.99,4,23.54,36,3.8,"https://www.amazon.com/dp/B07GBGWLLZ","136.80",false,false,false,false,"Good Money: Understand your choices. Boost your financial wellbeing.: 20 thought-provoking lessons (BUILD+BECOME)","https://m.media-amazon.com/images/I/71i-vgCbdML._AC_UY218_.jpg"
