"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
45,13,895,"B00KWIYCT0",false,5.95,"USD",0,0,0,9,4.4,"https://www.amazon.com/dp/B00KWIYCT0","39.60",false,false,false,false,"Beauty and the Basement (Twicetold Tales)","https://m.media-amazon.com/images/I/917PoNwklDL._AC_UY218_.jpg"
45,14,896,"B00GIRTFLE",false,6.99,"USD",0,0,0,3,3.5,"https://www.amazon.com/dp/B00GIRTFLE","10.50",false,false,false,false,"Tricky Coyote Tales: Book 1 (Tricky Journeys ™)","https://m.media-amazon.com/images/I/81ZC4lowVrL._AC_UY218_.jpg"
45,15,897,"B0024CF0ES",true,7.99,"USD",15.99,8,50.03,102,4.1,"https://www.amazon.com/dp/B0024CF0ES","418.20",false,false,false,false,"Leaping Beauty: And Other Animal Fairy Tales","https://m.media-amazon.com/images/I/41z+S9jYohL._AC_UY218_.jpg"
45,16,898,"B00IN2ONMI",true,5.54,"USD",7.19,1.65,22.95,286,4.7,"https://www.amazon.com/dp/B00IN2ONMI","1344.20",false,false,false,false,"The Bravest Princess: A Tale of the Wide-Awake Princess (Tales of the Wide-Awake Princess Book 3)","https://m.media-amazon.com/images/I/81raTQg-8UL._AC_UY218_.jpg"
46,9,899,"B006VFZROC",true,7.99,"USD",14.95,6.96,46.56,45,4.4,"https://www.amazon.com/dp/B006VFZROC","198.00",false,false,false,false,"A Wolf at the Door: and Other Retold Fairy Tales","https://m.media-amazon.com/images/I/81sPppXf7bL._AC_UY218_.jpg"
46,10,900,"B09R9KP8L9",false,0,"USD",0,0,0,1,5,"https://www.amazon.com/dp/B09R9KP8L9","5.00",false,false,false,false,"The Fisherman and His Wife (Grimm's Fairy Tales Book 19)","https://m.media-amazon.com/images/I/91u01zv+IfL._AC_UY218_.jpg"
46,11,901,"B00T9RW4WW",true,5.54,"USD",7.19,1.65,22.95,293,4.7,"https://www.amazon.com/dp/B00T9RW4WW","1377.10",false,false,false,false,"Princess in Disguise: A Tale of the Wide-Awake Princess (Tales of the Wide-Awake Princess Book 4)","https://m.media-amazon.com/images/I/81S6iYk9EXL._AC_UY218_.jpg"
46,12,902,"B06X8WM3MZ",false,2.99,"USD",0,0,0,3,3.3,"https://www.amazon.com/dp/B06X8WM3MZ","9.90",false,false,false,false,"Books For Kids: Wonderful short stories that my Grandpa told: Book No.2 (Books For Kids, Kids Books, Ages 4-8, Fairy Tale...","https://m.media-amazon.com/images/I/91whEbpKJqL._AC_UY218_.jpg"
46,13,903,"B08Q4FT5SQ",false,9.99,"USD",0,0,0,11,5,"https://www.amazon.com/dp/B08Q4FT5SQ","55.00",false,false,false,false,"Draw characters from fairy tales: 6","https://m.media-amazon.com/images/I/81FrKSelUYL._AC_UY218_.jpg"
46,15,905,"B07F2G1JCJ",true,4.99,"USD",50,45.01,90.02,7,4.6,"https://www.amazon.com/dp/B07F2G1JCJ","32.20",false,false,false,false,"Fairy Tales of Oscar Wilde (Children's Classics Book 2)","https://m.media-amazon.com/images/I/81NsSNX-zDL._AC_UY218_.jpg"
